Reading frame
Pixel[0] has values (201, 68, 161)
Checking all values in frame are initialized
Data array is size 2
Pixel[0, 280] has vals L = 136, A = 119, B = 115
Pixel[0, 281] has vals L = 136, A = 119, B = 115
Pixel[0, 282] has vals L = 136, A = 119, B = 115
Pixel[0, 283] has vals L = 136, A = 119, B = 115
Pixel[0, 284] has vals L = 136, A = 119, B = 115
Pixel[0, 285] has vals L = 136, A = 121, B = 115
Pixel[0, 286] has vals L = 136, A = 121, B = 115
Pixel[0, 287] has vals L = 136, A = 121, B = 115
Pixel[0, 288] has vals L = 136, A = 121, B = 115
Pixel[0, 289] has vals L = 136, A = 121, B = 115
Pixel[0, 290] has vals L = 136, A = 121, B = 115
Pixel[0, 291] has vals L = 136, A = 121, B = 115
Pixel[0, 292] has vals L = 136, A = 121, B = 115
Pixel[0, 293] has vals L = 136, A = 121, B = 115
Pixel[0, 294] has vals L = 136, A = 121, B = 115
Pixel[0, 295] has vals L = 136, A = 121, B = 115
Pixel[0, 296] has vals L = 136, A = 121, B = 115
Pixel[0, 297] has vals L = 136, A = 121, B = 115
Pixel[0, 298] has vals L = 136, A = 121, B = 115
Pixel[0, 299] has vals L = 136, A = 121, B = 115
Pixel[0, 300] has vals L = 136, A = 121, B = 115
Pixel[0, 301] has vals L = 136, A = 118, B = 115
Pixel[0, 302] has vals L = 136, A = 118, B = 115
Pixel[0, 303] has vals L = 136, A = 118, B = 115
Pixel[0, 304] has vals L = 136, A = 118, B = 115
Pixel[0, 305] has vals L = 136, A = 118, B = 115
Pixel[0, 306] has vals L = 136, A = 118, B = 115
Pixel[0, 307] has vals L = 136, A = 118, B = 115
Pixel[0, 308] has vals L = 136, A = 118, B = 115
Pixel[0, 309] has vals L = 136, A = 117, B = 115
Pixel[0, 310] has vals L = 136, A = 117, B = 115
Pixel[0, 311] has vals L = 136, A = 117, B = 115
Pixel[0, 312] has vals L = 136, A = 117, B = 115
Pixel[0, 313] has vals L = 136, A = 117, B = 115
Pixel[0, 314] has vals L = 136, A = 117, B = 115
Pixel[0, 315] has vals L = 136, A = 117, B = 115
Pixel[0, 316] has vals L = 136, A = 117, B = 115
Pixel[0, 317] has vals L = 136, A = 120, B = 115
Pixel[0, 318] has vals L = 136, A = 120, B = 115
Pixel[0, 319] has vals L = 136, A = 118, B = 115
Pixel[0, 320] has vals L = 136, A = 118, B = 115
Pixel[0, 321] has vals L = 136, A = 118, B = 115
Pixel[0, 322] has vals L = 136, A = 118, B = 115
Pixel[0, 323] has vals L = 136, A = 120, B = 115
Pixel[0, 324] has vals L = 136, A = 120, B = 115
Pixel[0, 325] has vals L = 136, A = 161, B = 116
Pixel[0, 326] has vals L = 136, A = 159, B = 116
Pixel[0, 327] has vals L = 136, A = 154, B = 116
Pixel[0, 328] has vals L = 136, A = 146, B = 116
Pixel[0, 329] has vals L = 136, A = 135, B = 116
Pixel[0, 330] has vals L = 136, A = 123, B = 116
Pixel[0, 331] has vals L = 136, A = 113, B = 116
Pixel[0, 332] has vals L = 136, A = 107, B = 116
Pixel[0, 333] has vals L = 136, A = 81, B = 116
Pixel[0, 334] has vals L = 136, A = 74, B = 116
Pixel[0, 335] has vals L = 136, A = 65, B = 116
Pixel[0, 336] has vals L = 136, A = 60, B = 116
Pixel[0, 337] has vals L = 136, A = 65, B = 116
Pixel[0, 338] has vals L = 136, A = 78, B = 116
Pixel[0, 339] has vals L = 136, A = 93, B = 116
Pixel[0, 340] has vals L = 136, A = 104, B = 112
Pixel[0, 341] has vals L = 136, A = 133, B = 106
Pixel[0, 342] has vals L = 137, A = 143, B = 101
Pixel[0, 343] has vals L = 137, A = 160, B = 101
Pixel[0, 344] has vals L = 138, A = 179, B = 99
Pixel[0, 345] has vals L = 139, A = 195, B = 99
Pixel[0, 346] has vals L = 140, A = 206, B = 97
Pixel[0, 347] has vals L = 142, A = 211, B = 96
Pixel[0, 348] has vals L = 143, A = 213, B = 94
Pixel[0, 349] has vals L = 145, A = 213, B = 93
Pixel[0, 350] has vals L = 147, A = 208, B = 91
Pixel[0, 351] has vals L = 149, A = 202, B = 90
Pixel[0, 352] has vals L = 151, A = 199, B = 88
Pixel[0, 353] has vals L = 153, A = 199, B = 87
Pixel[0, 354] has vals L = 154, A = 199, B = 86
Pixel[0, 355] has vals L = 155, A = 196, B = 85
Pixel[0, 356] has vals L = 156, A = 194, B = 85
Pixel[0, 357] has vals L = 156, A = 191, B = 84
Pixel[0, 358] has vals L = 155, A = 192, B = 84
Pixel[0, 359] has vals L = 155, A = 193, B = 83
Pixel[0, 360] has vals L = 155, A = 195, B = 83
Pixel[0, 361] has vals L = 155, A = 196, B = 83
Pixel[0, 362] has vals L = 156, A = 198, B = 83
Pixel[0, 363] has vals L = 156, A = 199, B = 82
Pixel[0, 364] has vals L = 157, A = 199, B = 82
Pixel[0, 365] has vals L = 157, A = 200, B = 82
Pixel[0, 366] has vals L = 159, A = 199, B = 82
Pixel[0, 367] has vals L = 159, A = 199, B = 81
Pixel[0, 368] has vals L = 160, A = 198, B = 81
Pixel[0, 369] has vals L = 160, A = 198, B = 80
Pixel[0, 370] has vals L = 161, A = 197, B = 80
Pixel[0, 371] has vals L = 161, A = 197, B = 80
Pixel[0, 372] has vals L = 161, A = 197, B = 81
Pixel[0, 373] has vals L = 161, A = 195, B = 82
Pixel[0, 374] has vals L = 161, A = 195, B = 83
Pixel[0, 375] has vals L = 161, A = 194, B = 82
Pixel[0, 376] has vals L = 161, A = 193, B = 82
Pixel[0, 377] has vals L = 161, A = 191, B = 81
Pixel[0, 378] has vals L = 161, A = 190, B = 81
Pixel[0, 379] has vals L = 161, A = 189, B = 80
Pixel[0, 380] has vals L = 161, A = 189, B = 79
Pixel[0, 381] has vals L = 161, A = 191, B = 79
Pixel[0, 382] has vals L = 161, A = 192, B = 78
Pixel[0, 383] has vals L = 161, A = 194, B = 77
Pixel[0, 384] has vals L = 161, A = 196, B = 77
Pixel[0, 385] has vals L = 161, A = 196, B = 76
Pixel[0, 386] has vals L = 161, A = 194, B = 76
Pixel[0, 387] has vals L = 161, A = 192, B = 76
Pixel[0, 388] has vals L = 161, A = 191, B = 76
Pixel[0, 389] has vals L = 160, A = 187, B = 75
Pixel[0, 390] has vals L = 160, A = 187, B = 75
Pixel[0, 391] has vals L = 159, A = 187, B = 75
Pixel[0, 392] has vals L = 160, A = 187, B = 75
Pixel[0, 393] has vals L = 160, A = 187, B = 75
Pixel[0, 394] has vals L = 161, A = 187, B = 75
Pixel[0, 395] has vals L = 161, A = 187, B = 75
Pixel[0, 396] has vals L = 162, A = 187, B = 75
Pixel[0, 397] has vals L = 162, A = 188, B = 75
Pixel[0, 398] has vals L = 163, A = 188, B = 75
Pixel[0, 399] has vals L = 163, A = 188, B = 75
Pixel[0, 400] has vals L = 164, A = 188, B = 75
Pixel[0, 401] has vals L = 164, A = 188, B = 75
Pixel[0, 402] has vals L = 165, A = 188, B = 75
Pixel[0, 403] has vals L = 165, A = 188, B = 75
Pixel[0, 404] has vals L = 165, A = 188, B = 76
Pixel[0, 405] has vals L = 164, A = 186, B = 78
Pixel[0, 406] has vals L = 163, A = 186, B = 79
Pixel[0, 407] has vals L = 162, A = 186, B = 79
Pixel[0, 408] has vals L = 162, A = 186, B = 79
Pixel[0, 409] has vals L = 162, A = 186, B = 79
Pixel[0, 410] has vals L = 162, A = 186, B = 79
Pixel[0, 411] has vals L = 162, A = 186, B = 79
Pixel[0, 412] has vals L = 162, A = 186, B = 79
Pixel[0, 413] has vals L = 162, A = 186, B = 79
Pixel[0, 414] has vals L = 162, A = 186, B = 79
Pixel[0, 415] has vals L = 162, A = 186, B = 79
Pixel[0, 416] has vals L = 162, A = 186, B = 79
Pixel[0, 417] has vals L = 162, A = 186, B = 79
Pixel[0, 418] has vals L = 162, A = 186, B = 79
Pixel[0, 419] has vals L = 162, A = 186, B = 79
Pixel[0, 420] has vals L = 162, A = 186, B = 79
Pixel[0, 421] has vals L = 161, A = 185, B = 80
Pixel[0, 422] has vals L = 158, A = 185, B = 80
Pixel[0, 423] has vals L = 157, A = 185, B = 80
Pixel[0, 424] has vals L = 157, A = 184, B = 80
Pixel[0, 425] has vals L = 157, A = 184, B = 80
Pixel[0, 426] has vals L = 157, A = 183, B = 80
Pixel[0, 427] has vals L = 157, A = 183, B = 80
Pixel[0, 428] has vals L = 157, A = 183, B = 80
Pixel[0, 429] has vals L = 157, A = 182, B = 80
Pixel[0, 430] has vals L = 157, A = 182, B = 80
Pixel[0, 431] has vals L = 157, A = 182, B = 80
Pixel[0, 432] has vals L = 157, A = 182, B = 80
Pixel[0, 433] has vals L = 157, A = 182, B = 80
Pixel[0, 434] has vals L = 157, A = 182, B = 80
Pixel[0, 435] has vals L = 157, A = 182, B = 80
Pixel[0, 436] has vals L = 157, A = 182, B = 80
Pixel[0, 437] has vals L = 157, A = 183, B = 81
Pixel[0, 438] has vals L = 157, A = 183, B = 81
Pixel[0, 439] has vals L = 157, A = 183, B = 81
Pixel[0, 440] has vals L = 157, A = 183, B = 81
Pixel[0, 441] has vals L = 157, A = 183, B = 81
Pixel[0, 442] has vals L = 157, A = 183, B = 81
Pixel[0, 443] has vals L = 157, A = 183, B = 81
Pixel[0, 444] has vals L = 157, A = 183, B = 81
Pixel[0, 445] has vals L = 157, A = 183, B = 81
Pixel[0, 446] has vals L = 157, A = 183, B = 81
Pixel[0, 447] has vals L = 157, A = 183, B = 81
Pixel[0, 448] has vals L = 157, A = 182, B = 81
Pixel[0, 449] has vals L = 157, A = 182, B = 81
Pixel[0, 450] has vals L = 157, A = 181, B = 81
Pixel[0, 451] has vals L = 157, A = 181, B = 81
Pixel[0, 452] has vals L = 157, A = 181, B = 81
Pixel[0, 453] has vals L = 157, A = 182, B = 81
Pixel[0, 454] has vals L = 156, A = 182, B = 81
Pixel[0, 455] has vals L = 156, A = 182, B = 81
Pixel[0, 456] has vals L = 156, A = 182, B = 81
Pixel[0, 457] has vals L = 156, A = 182, B = 81
Pixel[0, 458] has vals L = 156, A = 182, B = 81
Pixel[0, 459] has vals L = 156, A = 182, B = 81
Pixel[0, 460] has vals L = 156, A = 182, B = 81
Pixel[0, 461] has vals L = 156, A = 182, B = 81
Pixel[0, 462] has vals L = 156, A = 182, B = 81
Pixel[0, 463] has vals L = 156, A = 181, B = 81
Pixel[0, 464] has vals L = 156, A = 180, B = 81
Pixel[0, 465] has vals L = 156, A = 180, B = 81
Pixel[0, 466] has vals L = 156, A = 179, B = 81
Pixel[0, 467] has vals L = 156, A = 178, B = 81
Pixel[0, 468] has vals L = 156, A = 178, B = 81
Pixel[0, 469] has vals L = 156, A = 180, B = 81
Pixel[0, 470] has vals L = 156, A = 181, B = 81
Pixel[0, 471] has vals L = 156, A = 182, B = 81
Pixel[0, 472] has vals L = 156, A = 183, B = 81
Pixel[0, 473] has vals L = 156, A = 183, B = 81
Pixel[0, 474] has vals L = 156, A = 183, B = 81
Pixel[0, 475] has vals L = 156, A = 183, B = 81
Pixel[0, 476] has vals L = 156, A = 182, B = 81
Pixel[0, 477] has vals L = 156, A = 183, B = 81
Pixel[0, 478] has vals L = 156, A = 183, B = 81
Pixel[0, 479] has vals L = 156, A = 183, B = 81
Pixel[1, 0] has vals L = 161, A = 189, B = 70
Pixel[1, 1] has vals L = 161, A = 191, B = 70
Pixel[1, 2] has vals L = 161, A = 192, B = 70
Pixel[1, 3] has vals L = 161, A = 193, B = 70
Pixel[1, 4] has vals L = 161, A = 194, B = 71
Pixel[1, 5] has vals L = 161, A = 196, B = 73
Pixel[1, 6] has vals L = 161, A = 196, B = 74
Pixel[1, 7] has vals L = 161, A = 197, B = 73
Pixel[1, 8] has vals L = 161, A = 198, B = 73
Pixel[1, 9] has vals L = 161, A = 199, B = 72
